id,Date,Rank,Series,W_L,Win,Loss,Forfeit,Absence,Winrate,Streak(Wins)
1,1988-05-01,Jk19e,WFFWFWFLFWFWFWF,6-1,6,1,8,0,85.71,N
1,1988-07-01,Jd97e,WFFWLFFWFWLFFFW,5-2,5,2,8,0,71.43,N
1,1988-09-01,Jd52e,FWFWFLWFWFWFLFF,5-2,5,2,8,0,71.43,N
1,1988-11-01,Jd15w,WFWFWFFWWFFWLFF,6-1,6,1,8,0,85.71,N
1,1989-01-01,Sd60e,WFFLFWFWWFFLFWF,5-2,5,2,8,0,71.43,N
1,1989-03-01,Sd33e,FWWFWFFWFLFWFWF,6-1,6,1,8,0,85.71,N
1,1989-05-01,Ms55w,FWFWFWFWLFFWFFW,6-1,6,1,8,0,85.71,N
1,1989-07-01,Ms28e,WFFWFLWFFLFWFWF,5-2,5,2,8,0,71.43,N
1,1989-09-01,Ms14w,FWWFFWLFFWFWLFF,5-2,5,2,8,0,71.43,N
1,1989-11-01,Ms5e,FLFWFWLFFWWFFWF,5-2,5,2,8,0,71.43,N
1,1990-01-01,Ms2e,FLWFWFWFLLFWFFF,4-3,4,3,8,0,57.14,N
1,1990-03-01,J12w,LLWWLWWLLWWWWLL,8-7,8,7,0,0,53.33,Y
1,1990-05-01,J10w,LWWWWWWWLLWLWWW,11-4,11,4,0,0,73.33,Y
1,1990-07-01,J3e,WWWWLWLLWWLWWWW,11-4,11,4,0,0,73.33,Y
1,1990-09-01,M14e,WWWLLWWWLWLLWWL,9-6,9,6,0,0,60.0,N
1,1990-11-01,M7w,WLWWLLLWWWLLWWW,9-6,9,6,0,0,60.0,N
1,1991-01-01,M1w,LWLLLWLWWWLWWWL,8-7,8,7,0,0,53.33,N
1,1991-03-01,K1e,LWLWLWLLLLWWWWW,8-7,8,7,0,0,53.33,Y
1,1991-05-01,S1w,WWWLLLLLLLWLWWW,7-8,7,8,0,0,46.67,N
1,1991-07-01,M1e,WLLLWWLWLLWWWWL,8-7,8,7,0,0,53.33,Y
1,1991-09-01,K1w,LLWLLWLWWWLWLLW,7-8,7,8,0,0,46.67,N
1,1991-11-01,M1w,LWLWLWWLWLLWWLW,8-7,8,7,0,0,53.33,N
1,1992-01-01,K1w,WLWWWWWWWWWLWWW,13-2 J,13,2,0,0,86.67,Y
1,1992-03-01,S1e,WLWWLWWLLLWWLLW,8-7,8,7,0,0,53.33,N
1,1992-05-01,S1w,WWLWWWWWWWWLWWW,13-2 Y,13,2,0,0,86.67,Y
1,1992-07-01,O1e,FFFFFFFFFFFFFFF,0-0-15,0,0,15,0,0.0,N
1,1992-09-01,O2eHD,WWLWLLLLLWWWWWW,9-6,9,6,0,0,60.0,Y
1,1992-11-01,O1w,WWWWWLWWWWWWWWW,14-1 Y,14,1,0,0,93.33,Y
1,1993-01-01,O1e,WWWWWWWLWWLWWWW,13-2 Y,13,2,0,0,86.67,Y
1,1993-03-01,Y1e,WWWWWLLWWLWLWLW,10-5,10,5,0,0,66.67,Y
1,1993-05-01,Y1e,WWWWWWWWWWWWLWL,13-2 J,13,2,0,0,86.67,Y
